'freguesia','bairro','tipologia','renda','nrelementos'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3','[60 - 80[','1'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','2','[60 - 80[','2'
'Paranhos','Carriçal','2','[60 - 80[','3'
'Paranhos','Carriçal','2','[40 - 60[','2'
'UF de Freguesias Lordelo do Ouro e Massarelos','Pasteleira','3','[40 - 60[','2'
'Ramalde','Campinas','2','[20 - 40[','1'
'Ramalde','Francos','3','[80 - 100[','2'
'UF de Freguesias Lordelo do Ouro e Massarelos','Mouteira','<= 1','[100 - 120[','1'
'UF de Freguesias Lordelo do Ouro e Massarelos','Mouteira','2','[120 - 140[','2'
'UF de Freguesias Lordelo do Ouro e Massarelos','Mouteira','4','[160 - 180[','2'
'UF de Freguesias Lordelo do Ouro e Massarelos','Mouteira','2','[120 - 140[','2'
'UF de Freguesias Lordelo do Ouro e Massarelos','Mouteira','3','[140 - 160[','2'
'UF de Freguesias Lordelo do Ouro e Massarelos','Mouteira','2','[80 - 100[','2'
'UF de Freguesias Lordelo do Ouro e Massarelos','Mouteira','<= 1','[100 - 120[','1'
'UF de Freguesias Lordelo do Ouro e Massarelos','Bom Sucesso','3','[40 - 60[','2'
'Paranhos','Regado','2',' < 20 ','1'
'UF de Freguesias Lordelo do Ouro e Massarelos','Mouteira','<= 1','[100 - 120[','2'
'UF de Freguesias Lordelo do Ouro e Massarelos','Mouteira','3','[140 - 160[','2'
'Ramalde','Campinas','3','[60 - 80[','3'
'Campanhã','Monte da Bela','3','[80 - 100[','3'
'Ramalde','Campinas','2',' < 20 ','1'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3',' < 20 ','3'
'UF de Freguesias Lordelo do Ouro e Massarelos','Dr. Nuno Pinheiro Torres','4','[80 - 100[','3'
'UF de Freguesias Lordelo do Ouro e Massarelos','Mouteira','2','[120 - 140[','3'
'Ramalde','Campinas','2','[60 - 80[','3'
'Paranhos','Regado','2','[20 - 40[','1'
'Ramalde','Francos','2','[60 - 80[','2'
'Paranhos','Carriçal','<= 1','[60 - 80[','2'
'Campanhã','Pio XII','3',' < 20 ','2'
'Ramalde','Campinas','2','[60 - 80[','2'
'UF de Freguesias Lordelo do Ouro e Massarelos','Bom Sucesso','3','[40 - 60[','4'
'Paranhos','Carvalhido','3',' < 20 ','1'
'Ramalde','Campinas','2','[60 - 80[','3'
'UF de Aldoar, Foz do Douro e Nevogilde','Aldoar','4',' < 20 ','2'
'UF de Aldoar, Foz do Douro e Nevogilde','Aldoar','3','[80 - 100[','2'
'UF de Aldoar, Foz do Douro e Nevogilde','Aldoar','3',' < 20 ','2'
'Paranhos','Carriçal','4','[80 - 100[','2'
'Paranhos','Bom Pastor','3','[80 - 100[','3'
'Paranhos','Agra do Amial','3','[20 - 40[','1'
'UF de Aldoar, Foz do Douro e Nevogilde','Aldoar','3','[40 - 60[','1'
'Paranhos','Carriçal','3','[20 - 40[','1'
'Ramalde','Campinas','3','[80 - 100[','2'
'Ramalde','Campinas','3','[20 - 40[','1'
'Paranhos','Carriçal','3',' < 20 ','2'
'Paranhos','Carriçal','3','[40 - 60[','5'
'Campanhã','Lagarteiro','2','[60 - 80[','2'
'UF de Freguesias Lordelo do Ouro e Massarelos','Parceria Antunes','4','[220 - 240[','>= 6'
'Ramalde','Campinas','2','[40 - 60[','2'
'Ramalde','Campinas','3','[40 - 60[','2'
'Ramalde','Campinas','3','[80 - 100[','3'
'Ramalde','Campinas','3','[80 - 100[','1'
'Ramalde','Campinas','3','[20 - 40[','1'
'Campanhã','Cerco do Porto','3','[40 - 60[','3'
'Ramalde','Campinas','4','[80 - 100[','4'
'Campanhã','Cerco do Porto','3','[40 - 60[','2'
'Campanhã','Cerco do Porto','4','[40 - 60[','5'
'Campanhã','Contumil','3','[80 - 100[','1'
'Campanhã','Falcão','2','[60 - 80[','1'
'Campanhã','Contumil','4','[80 - 100[','1'
'Campanhã','Contumil','4','[20 - 40[','1'
'Campanhã','Lagarteiro','3',' < 20 ','1'
'Campanhã','Lagarteiro','3','[60 - 80[','2'
'UF de Aldoar, Foz do Douro e Nevogilde','Aldoar','3','[80 - 100[','4'
'Bonfim','Duque de Saldanha','2','[20 - 40[','1'
'Campanhã','Cerco do Porto','2','[20 - 40[','2'
'Campanhã','Lagarteiro','2',' < 20 ','3'
'UF de Freguesias Lordelo do Ouro e Massarelos','Condominhas','3','[20 - 40[','1'
'Ramalde','Campinas','2','[60 - 80[','2'
'UF de Freguesias Lordelo do Ouro e Massarelos','Dr. Nuno Pinheiro Torres','3','[80 - 100[','2'
'Ramalde','Francos','2',' < 20 ','1'
'Campanhã','Falcão','4','[80 - 100[','2'
'Campanhã','Falcão','2','[40 - 60[','1'
'Campanhã','Falcão','3','[140 - 160[','1'
'Campanhã','Contumil','4','[160 - 180[','3'
'Paranhos','Carriçal','2','[60 - 80[','1'
'UF de Aldoar, Foz do Douro e Nevogilde','Aldoar','4','[80 - 100[','2'
'UF de Aldoar, Foz do Douro e Nevogilde','Aldoar','3','[80 - 100[','4'
'UF de Aldoar, Foz do Douro e Nevogilde','Aldoar','4','[80 - 100[','4'
'UF de Aldoar, Foz do Douro e Nevogilde','Aldoar','4','[60 - 80[','2'
'UF de Aldoar, Foz do Douro e Nevogilde','Aldoar','2','[60 - 80[','2'
'UF de Aldoar, Foz do Douro e Nevogilde','Aldoar','3','[20 - 40[','1'
'UF de Aldoar, Foz do Douro e Nevogilde','Aldoar','3','[80 - 100[','1'
'UF de Aldoar, Foz do Douro e Nevogilde','Aldoar','3','[80 - 100[','4'
'UF de Aldoar, Foz do Douro e Nevogilde','Aldoar','3','[40 - 60[','2'
'UF de Aldoar, Foz do Douro e Nevogilde','Aldoar','2','[20 - 40[','2'
'Ramalde','Francos','3','[80 - 100[','1'
'Campanhã','Cerco do Porto','3','[40 - 60[','1'
'UF de Aldoar, Foz do Douro e Nevogilde','Aldoar','3','[20 - 40[','1'
'Paranhos','Agra do Amial','2','[20 - 40[','3'
'Campanhã','Cerco do Porto','4','[20 - 40[','1'
'UF de Aldoar, Foz do Douro e Nevogilde','Aldoar','2','[60 - 80[','2'
'UF de Aldoar, Foz do Douro e Nevogilde','Aldoar','3','[80 - 100[','2'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3','[80 - 100[','1'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3','[80 - 100[','4'
'Ramalde','Francos','2','[40 - 60[','1'
'Ramalde','Campinas','3','[80 - 100[','3'
'Ramalde','Ramalde','3','[40 - 60[','2'
'Campanhã','S. Roque da Lameira','3','[80 - 100[','3'
'Ramalde','Campinas','2','[60 - 80[','2'
'UF de Aldoar, Foz do Douro e Nevogilde','Aldoar','2',' < 20 ','1'
'UF de Aldoar, Foz do Douro e Nevogilde','Aldoar','2','[20 - 40[','3'
'UF de Freguesias Lordelo do Ouro e Massarelos','Dr. Nuno Pinheiro Torres','4','[60 - 80[','1'
'Paranhos','Carvalhido','3','[80 - 100[','2'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3','[60 - 80[','1'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','2','[60 - 80[','2'
'UF de Freguesias Lordelo do Ouro e Massarelos','Pasteleira','3','[40 - 60[','1'
'Campanhã','Monte da Bela','3','[80 - 100[','1'
'Paranhos','Regado','<= 1',' < 20 ','1'
'UF de Freguesias Lordelo do Ouro e Massarelos','Bom Sucesso','3','[40 - 60[','2'
'Ramalde','Campinas','3','[80 - 100[','4'
'Campanhã','Eng. Machado Vaz','2','[20 - 40[','1'
'Campanhã','S. Roque da Lameira','4','[40 - 60[','2'
'Paranhos','Regado','2','[60 - 80[','2'
'Campanhã','Contumil','3','[80 - 100[','2'
'Campanhã','Falcão','2','[60 - 80[','2'
'Bonfim','Fernão de Magalhães','2','[60 - 80[','3'
'Campanhã','Cerco do Porto','2','[120 - 140[','2'
'Campanhã','Cerco do Porto','3','[140 - 160[','2'
'Campanhã','Cerco do Porto','2','[80 - 100[','2'
'Campanhã','Cerco do Porto','2',' < 20 ','1'
'Campanhã','Cerco do Porto','2',' < 20 ','1'
'Campanhã','Falcão','2','[60 - 80[','2'
'Paranhos','Regado','2','[40 - 60[','1'
'Bonfim','Fernão de Magalhães','2','[60 - 80[','3'
'Campanhã','Cerco do Porto','3','[140 - 160[','3'
'Ramalde','Campinas','2',' < 20 ','2'
'Paranhos','Outeiro','2','[40 - 60[','1'
'Campanhã','Lagarteiro','3',' < 20 ','1'
'UF de Freguesias Lordelo do Ouro e Massarelos','Dr. Nuno Pinheiro Torres','2','[40 - 60[','4'
'Campanhã','Cerco do Porto','2','[20 - 40[','1'
'Campanhã','Lagarteiro','2','[20 - 40[','4'
'Campanhã','S. Roque da Lameira','3','[80 - 100[','2'
'Paranhos','Regado','<= 1','[60 - 80[','1'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3','[80 - 100[','4'
'Ramalde','Campinas','2',' < 20 ','1'
'Campanhã','Monte da Bela','2','[60 - 80[','2'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','2','[60 - 80[','2'
'Paranhos','Outeiro','2','[60 - 80[','2'
'UF de Freguesias Lordelo do Ouro e Massarelos','Mouteira','2','[100 - 120[','2'
'Ramalde','Campinas','2','[60 - 80[','2'
'Paranhos','Regado','4','[80 - 100[','5'
'Paranhos','Carriçal','<= 1',' < 20 ','1'
'Ramalde','Campinas','<= 1','[20 - 40[','1'
'Campanhã','Eng. Machado Vaz','3','[40 - 60[','1'
'Paranhos','Bom Pastor','3','[80 - 100[','1'
'Ramalde','Francos','2','[40 - 60[','1'
'Campanhã','Falcão','2','[120 - 140[','2'
'Ramalde','Campinas','2','[20 - 40[','2'
'Paranhos','Regado','3',' < 20 ','2'
'Ramalde','Campinas','<= 1','[60 - 80[','1'
'Paranhos','Vale Formoso','2','[20 - 40[','1'
'UF de Aldoar, Foz do Douro e Nevogilde','Aldoar','3','[80 - 100[','4'
'Paranhos','Regado','<= 1','[60 - 80[','1'
'Bonfim','Fernão de Magalhães','3','[80 - 100[','2'
'Paranhos','Santa Luzia','2','[200 - 220[','3'
'UF de Aldoar, Foz do Douro e Nevogilde','Aldoar','4','[80 - 100[','4'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','2','[60 - 80[','2'
'Ramalde','Campinas','3',' < 20 ','3'
'Ramalde','Campinas','2','[60 - 80[','2'
'Ramalde','Francos','3','[80 - 100[','2'
'Ramalde','Francos','2','[20 - 40[','1'
'Ramalde','Campinas','2','[20 - 40[','2'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3','[80 - 100[','3'
'Paranhos','Santa Luzia','3','[80 - 100[','2'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3','[80 - 100[','3'
'Ramalde','Francos','3',' < 20 ','1'
'Paranhos','Regado','2','[60 - 80[','1'
'Bonfim','Fernão de Magalhães','2','[60 - 80[','3'
'Campanhã','Agr. Hab. do Falcão','2','[120 - 140[','2'
'Campanhã','Agr. Hab. do Falcão','3','[200 - 220[','2'
'Campanhã','Agr. Hab. do Falcão','2','[220 - 240[','3'
'Paranhos','Carvalhido','3','[80 - 100[','2'
'Ramalde','Campinas','2','[60 - 80[','4'
'Ramalde','Campinas','<= 1','[20 - 40[','1'
'Ramalde','Campinas','<= 1','[60 - 80[','1'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3','[60 - 80[','2'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3','[40 - 60[','2'
'Ramalde','Francos','3','[80 - 100[','4'
'Ramalde','Francos','3',' < 20 ','3'
'Ramalde','Campinas','3','[80 - 100[','3'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3',' < 20 ','2'
'Paranhos','Carriçal','4','[80 - 100[','3'
'Campanhã','Ilhéu','3','[40 - 60[','1'
'Ramalde','Campinas','<= 1',' < 20 ','2'
'Paranhos','Regado','4','[80 - 100[','2'
'UF de Aldoar, Foz do Douro e Nevogilde','Aldoar','3','[80 - 100[','3'
'Campanhã','S. Roque da Lameira','3','[80 - 100[','2'
'Bonfim','Fernão de Magalhães','2','[60 - 80[','2'
'UF de Freguesias Lordelo do Ouro e Massarelos','Mouteira','2','[60 - 80[','1'
'Bonfim','Fernão de Magalhães','3','[80 - 100[','3'
'Bonfim','Fernão de Magalhães','<= 1','[40 - 60[','1'
'Paranhos','Carvalhido','3','[80 - 100[','4'
'Paranhos','Carriçal','2',' < 20 ','2'
'Paranhos','Carriçal','<= 1',' < 20 ','1'
'Campanhã','Lagarteiro','2',' < 20 ','4'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3',' < 20 ','4'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3','[80 - 100[','5'
'Paranhos','Outeiro','3','[20 - 40[','1'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3',' < 20 ','4'
'UF de Freguesias Lordelo do Ouro e Massarelos','Pasteleira','3','[40 - 60[','3'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3','[80 - 100[','2'
'UF de Freguesias Lordelo do Ouro e Massarelos','Agr. Hab. da Pasteleira','4','[80 - 100[','5'
'Campanhã','Lagarteiro','3',' < 20 ','2'
'UF de Freguesias Lordelo do Ouro e Massarelos','Dr. Nuno Pinheiro Torres','3','[40 - 60[','4'
'Paranhos','Carvalhido','3','[40 - 60[','1'
'UF de Freguesias Lordelo do Ouro e Massarelos','Dr. Nuno Pinheiro Torres','<= 1','[20 - 40[','1'
'Ramalde','Campinas','3','[80 - 100[','4'
'Campanhã','Contumil','2','[60 - 80[','3'
'UF de Freguesias Lordelo do Ouro e Massarelos','Pasteleira','2',' < 20 ','2'
'Ramalde','Campinas','2','[40 - 60[','2'
'Ramalde','Campinas','4','[80 - 100[','2'
'Campanhã','Cerco do Porto','3',' < 20 ','1'
'Campanhã','Eng. Machado Vaz','<= 1','[20 - 40[','1'
'Ramalde','Francos','3','[80 - 100[','3'
'Ramalde','Francos','<= 1','[60 - 80[','2'
'Bonfim','Duque de Saldanha','2','[20 - 40[','3'
'Campanhã','Lagarteiro','3',' < 20 ','5'
'Paranhos','Santa Luzia','3','[240 - 260[','3'
'UF de Aldoar, Foz do Douro e Nevogilde','Aldoar','3','[80 - 100[','2'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3','[80 - 100[','2'
'Ramalde','Francos','3','[80 - 100[','3'
'Campanhã','Monte da Bela','3','[80 - 100[','2'
'Ramalde','Campinas','3','[80 - 100[','2'
'UF de Aldoar, Foz do Douro e Nevogilde','Aldoar','2','[60 - 80[','3'
'Campanhã','Cerco do Porto','2',' < 20 ','1'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','2','[60 - 80[','2'
'Paranhos','Carvalhido','3','[80 - 100[','3'
'Campanhã','Monte da Bela','4','[80 - 100[','4'
'Campanhã','Pio XII','2','[60 - 80[','1'
'UF de Freguesias Lordelo do Ouro e Massarelos','Pasteleira','3','[40 - 60[','2'
'Campanhã','Monte da Bela','3','[80 - 100[','4'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3','[20 - 40[','1'
'Campanhã','Monte da Bela','2','[40 - 60[','1'
'Campanhã','Cerco do Porto','2','[20 - 40[','1'
'Campanhã','S. Roque da Lameira','3','[80 - 100[','1'
'UF de Freguesias Lordelo do Ouro e Massarelos','Dr. Nuno Pinheiro Torres','3','[80 - 100[','2'
'Paranhos','Carriçal','2','[60 - 80[','2'
'UF de Freguesias Lordelo do Ouro e Massarelos','Bom Sucesso','3','[40 - 60[','2'
'Ramalde','Campinas','2','[60 - 80[','2'
'UF de Freguesias Lordelo do Ouro e Massarelos','Dr. Nuno Pinheiro Torres','2','[60 - 80[','3'
'UF de Freguesias Lordelo do Ouro e Massarelos','Dr. Nuno Pinheiro Torres','3','[80 - 100[','2'
'Campanhã','S. Roque da Lameira','3','[80 - 100[','3'
'UF de Aldoar, Foz do Douro e Nevogilde','Aldoar','3','[80 - 100[','1'
'Campanhã','Falcão','2','[60 - 80[','2'
'Campanhã','Lagarteiro','4','[60 - 80[','1'
'Campanhã','Falcão','2','[60 - 80[','2'
'Campanhã','Lagarteiro','2','[40 - 60[','1'
'Campanhã','Lagarteiro','3','[80 - 100[','2'
'Campanhã','Falcão','2','[60 - 80[','3'
'Campanhã','Lagarteiro','3','[60 - 80[','2'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3','[80 - 100[','2'
'Campanhã','Falcão','2','[60 - 80[','2'
'UF de Freguesias Lordelo do Ouro e Massarelos','Bom Sucesso','3','[40 - 60[','2'
'UF de Freguesias Lordelo do Ouro e Massarelos','Pasteleira','3','[40 - 60[','1'
'Ramalde','Campinas','3','[20 - 40[','1'
'Ramalde','Campinas','<= 1','[60 - 80[','2'
'Ramalde','Campinas','2','[20 - 40[','1'
'Campanhã','S. Roque da Lameira','2',' < 20 ','1'
'Campanhã','Lagarteiro','4','[80 - 100[','3'
'UF de Freguesias Lordelo do Ouro e Massarelos','Mouteira','3','[140 - 160[','2'
'Ramalde','Francos','3','[80 - 100[','2'
'Ramalde','Francos','2','[60 - 80[','1'
'Ramalde','Francos','3',' < 20 ','2'
'UF de Freguesias Lordelo do Ouro e Massarelos','Dr. Nuno Pinheiro Torres','3','[80 - 100[','4'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','2','[60 - 80[','2'
'Campanhã','Cerco do Porto','<= 1','[20 - 40[','2'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','2','[20 - 40[','1'
'Campanhã','S. Roque da Lameira','3','[80 - 100[','4'
'Campanhã','Falcão','3','[80 - 100[','3'
'Campanhã','S. Roque da Lameira','3','[40 - 60[','2'
'Paranhos','Carvalhido','3','[80 - 100[','2'
'Campanhã','Falcão','2','[20 - 40[','1'
'Paranhos','Regado','2','[60 - 80[','2'
'Campanhã','Lagarteiro','3','[80 - 100[','3'
'UF de Freguesias Lordelo do Ouro e Massarelos','Mouteira','2',' < 20 ','2'
'UF de Freguesias Lordelo do Ouro e Massarelos','Lordelo','3','[80 - 100[','1'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3','[80 - 100[','2'
'Ramalde','Francos','4','[80 - 100[','4'
'Paranhos','Outeiro','3','[80 - 100[','2'
'Campanhã','Lagarteiro','3','[40 - 60[','1'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3','[80 - 100[','4'
'Campanhã','Cerco do Porto','4','[40 - 60[','2'
'Paranhos','Agra do Amial','3','[40 - 60[','2'
'Ramalde','Campinas','3','[80 - 100[','3'
'Paranhos','Carriçal','<= 1','[20 - 40[','1'
'Campanhã','Cerco do Porto','3','[40 - 60[','2'
'Ramalde','Francos','3','[80 - 100[','2'
'Paranhos','Santa Luzia','4','[280 - 300[','1'
'UF de Aldoar, Foz do Douro e Nevogilde','Aldoar','4','[80 - 100[','4'
'Ramalde','Campinas','<= 1',' < 20 ','1'
'Campanhã','Agr. Hab. do Falcão','3','[20 - 40[','1'
'UF de Aldoar, Foz do Douro e Nevogilde','Aldoar','3','[80 - 100[','2'
'UF de Aldoar, Foz do Douro e Nevogilde','Aldoar','3','[80 - 100[','4'
'Campanhã','Agr. Hab. do Falcão','2','[180 - 200[','1'
'Campanhã','Agr. Hab. do Falcão','2','[160 - 180[','3'
'Paranhos','Carriçal','2',' < 20 ','2'
'Ramalde','Campinas','2','[40 - 60[','1'
'Campanhã','Agr. Hab. do Falcão','2','[20 - 40[','1'
'Campanhã','Agr. Hab. do Falcão','3','[280 - 300[','>= 6'
'Campanhã','Monte da Bela','2','[20 - 40[','1'
'Ramalde','Francos','3',' < 20 ','2'
'Campanhã','Agr. Hab. do Falcão','2','[240 - 260[','2'
'Campanhã','Agr. Hab. do Falcão','<= 1','[180 - 200[','2'
'Campanhã','Eng. Machado Vaz','<= 1','[20 - 40[','1'
'Campanhã','Agr. Hab. do Falcão','2','[20 - 40[','1'
'Campanhã','Agr. Hab. do Falcão','<= 1','[180 - 200[','2'
'UF de Freguesias Lordelo do Ouro e Massarelos','Pasteleira','2',' < 20 ','1'
'Ramalde','Campinas','3','[80 - 100[','3'
'Ramalde','Francos','<= 1','[20 - 40[','1'
'UF de Aldoar, Foz do Douro e Nevogilde','Aldoar','2',' < 20 ','2'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3','[40 - 60[','3'
'Ramalde','Campinas','2','[60 - 80[','2'
'Ramalde','Francos','3','[80 - 100[','4'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3','[80 - 100[','2'
'Ramalde','Ramalde','>= 5','[160 - 180[','2'
'Campanhã','S. Roque da Lameira','3','[80 - 100[','2'
'Campanhã','Agr. Hab. do Falcão','2','[20 - 40[','2'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3','[60 - 80[','2'
'Campanhã','Agr. Hab. do Falcão','2','[100 - 120[','1'
'Bonfim','Fernão de Magalhães','4',' < 20 ','3'
'Ramalde','Campinas','2','[60 - 80[','2'
'Ramalde','Campinas','2','[60 - 80[','2'
'Ramalde','Francos','3','[40 - 60[','1'
'Paranhos','Regado','2','[60 - 80[','1'
'Campanhã','Monte da Bela','3','[60 - 80[','4'
'Campanhã','Cerco do Porto','4','[40 - 60[','5'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3','[80 - 100[','4'
'Paranhos','Carriçal','2','[60 - 80[','2'
'Campanhã','Lagarteiro','4','[80 - 100[','3'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3','[80 - 100[','2'
'Campanhã','Lagarteiro','3','[40 - 60[','1'
'Paranhos','Outeiro','3','[80 - 100[','4'
'Ramalde','Francos','<= 1',' < 20 ','1'
'Paranhos','Santa Luzia','2','[60 - 80[','2'
'Paranhos','Outeiro','2','[60 - 80[','1'
'Paranhos','Carvalhido','3','[80 - 100[','4'
'Ramalde','Campinas','4','[80 - 100[','3'
'UF de Aldoar, Foz do Douro e Nevogilde','Aldoar','2',' < 20 ','1'
'Ramalde','Francos','<= 1',' < 20 ','2'
'Ramalde','Francos','3','[80 - 100[','1'
'Campanhã','Lagarteiro','3','[20 - 40[','1'
'Campanhã','Falcão','2','[40 - 60[','1'
'Ramalde','Campinas','<= 1',' < 20 ','1'
'Campanhã','Cerco do Porto','3','[40 - 60[','3'
'Campanhã','Antas','3','[160 - 180[','2'
'Campanhã','Lagarteiro','3','[80 - 100[','3'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3','[80 - 100[','3'
'Campanhã','Cerco do Porto','<= 1',' < 20 ','1'
'Campanhã','Cerco do Porto','<= 1','[20 - 40[','1'
'Campanhã','Lagarteiro','4','[80 - 100[','4'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3','[80 - 100[','1'
'Bonfim','Fernão de Magalhães','3','[80 - 100[','2'
'Paranhos','Regado','2','[60 - 80[','1'
'Ramalde','Ramalde','3',' < 20 ','1'
'Paranhos','Carriçal','3','[80 - 100[','5'
'UF de Aldoar, Foz do Douro e Nevogilde','Aldoar','3','[80 - 100[','2'
'Campanhã','Lagarteiro','3','[80 - 100[','1'
'Paranhos','Bom Pastor','3','[80 - 100[','4'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3','[80 - 100[','3'
'Campanhã','Lagarteiro','2',' < 20 ','2'
'Campanhã','Lagarteiro','3','[80 - 100[','5'
'Campanhã','Lagarteiro','2','[60 - 80[','2'
'Campanhã','Cerco do Porto','3','[40 - 60[','4'
'Ramalde','Campinas','2','[60 - 80[','2'
'Campanhã','Cerco do Porto','2','[20 - 40[','2'
'UF de Freguesias Lordelo do Ouro e Massarelos','Pasteleira','3','[40 - 60[','5'
'Campanhã','Falcão','3','[80 - 100[','2'
'Campanhã','Falcão','3','[80 - 100[','2'
'Campanhã','Falcão','3','[80 - 100[','2'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3','[80 - 100[','2'
'Campanhã','Lagarteiro','3','[60 - 80[','3'
'Campanhã','Falcão','3','[80 - 100[','2'
'UF de Aldoar, Foz do Douro e Nevogilde','Aldoar','2','[60 - 80[','2'
'Paranhos','Carriçal','2','[60 - 80[','2'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3','[80 - 100[','3'
'Ramalde','Campinas','2','[60 - 80[','2'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3',' < 20 ','1'
'Ramalde','Campinas','2','[60 - 80[','3'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3','[80 - 100[','2'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3','[80 - 100[','4'
'Campanhã','Falcão','3','[80 - 100[','2'
'Ramalde','Francos','4','[80 - 100[','2'
'UF de Freguesias Lordelo do Ouro e Massarelos','Dr. Nuno Pinheiro Torres','3','[80 - 100[','5'
'UF de Aldoar, Foz do Douro e Nevogilde','Aldoar','3','[20 - 40[','1'
